id,text,source,user_id,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,retweeted_status_id,geo,place,contributors,retweet_count,reply_count,favorite_count,favorited,retweeted,possibly_sensitive,num_hashtags,num_urls,num_mentions,created_at,timestamp,crawled_at,updated
18,@frakintosh is old skool web. A good web citizen. A maker. A team player. he needs a web of help now http://t.co/SRbhQ3nweH cc @anildash,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,20729466,frakintosh,0,,RRN,,0,0,0,,,,0,1,2,Thu Apr 30 00:49:21 +0000 2015,42124.1176,42125.5398,42125.5398
19,One reason my life has gotten better is the support of my dear friend @frakintosh. Now he needs help. Pls join me http://t.co/SRbhQ3nweH#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,RRN,,3,0,1,,,,1,1,1,Thu Apr 30 00:48:23 +0000 2015,42124.11693,42125.5398,42125.5398
20,RT @FINALLEVEL: Jon Stewart got it RIGHT again! Watch the wake up call he gave his #DailyShow viewers regarding the #BaltimoreRiots. http:/…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.94E+17,,SILK,,230,0,0,,,,2,1,1,Thu Apr 30 00:33:13 +0000 2015,42124.1064,42125.5398,42125.5398
21,@deray Thank you.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,29417304,deray,0,,SILK,,0,0,0,,,NULL,0,0,1,Wed Apr 29 23:55:25 +0000 2015,42124.08015,42125.5398,42125.5398
22,RT @iamsakuma: Hundreds of people are in Union Square about to march uptown via 6th Avenue #blacklivesmatter http://t.co/r3x5wzEm8J,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.94E+17,,BTM,,15,0,0,,,,1,0,1,Wed Apr 29 23:25:44 +0000 2015,42124.05954,42125.5398,42125.5398
23,"""Sexy. But crazy."" I play with makeup for the first time.  #girlyoudontneedmakeup @amyschumer https://t.co/TF59QK1dmY","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,ATB,,0,0,1,,,,1,1,1,Wed Apr 29 22:12:54 +0000 2015,42124.00896,42125.5398,42125.5398
24,"""Sexy. But crazy."" I play with makeup for the first time. From the early vlogging days. #girlyoudontneedmakeup... http://t.co/zOypKmH5X0","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",678033,,0,0,,0,,KOR,,0,0,1,,,,1,1,0,Wed Apr 29 22:12:23 +0000 2015,42124.0086,42125.5398,42125.5398
25,"""Sexy. But crazy.""  I play with makeup for the first time. From the early vlogging days. #girlyoudontneedmakeup... http://t.co/3GEVM4MuSr","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",678033,,0,0,,0,,JPN,,0,0,1,,,,1,1,0,Wed Apr 29 22:12:07 +0000 2015,42124.00841,42125.5398,42125.5398
26,@leadership_tech When will OTHS stop with the sound system in the front plaza that is disturbing the neighborhood?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,2997361290,leadership_tech,0,,BSK,,0,0,0,,,NULL,0,0,1,Wed Apr 29 20:00:34 +0000 2015,42123.91706,42125.5398,42125.5398
27,"Infuriating to have the Oakland PD tell me they won't have the authority to do anything. If I did the same thing the school is, they would","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,RRN,,0,0,0,,,NULL,0,0,0,Wed Apr 29 19:55:50 +0000 2015,42123.91377,42125.5398,42125.5398
28,The best part of heading to Toronto for a month will be not having to hear this school system. My councilmember @dankalb has ignored this.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,BTM,,0,0,0,,,NULL,0,0,1,Wed Apr 29 19:53:27 +0000 2015,42123.91212,42125.5398,42125.5398
29,Oakland Tech is once again got the stadium level audio going for the giant crowd of 6 ppl in front of the skul. Ignoring the neighborhood.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,SILK,,0,0,0,,,NULL,0,0,0,Wed Apr 29 19:52:48 +0000 2015,42123.91167,42125.5398,42125.5398
30,The Seinfeld series is going to be on Huluhttp://t.co/YMq9svLI9S#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,KOR,,0,0,1,,,,1,1,0,Wed Apr 29 17:35:01 +0000 2015,42123.81598,42125.5398,42125.5398
31,"@TWiBnation is grassroots media covering, on the ground, Baltimore, Ferguson and all the #BlackLivesMatter movement .","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,16444412,TWiBnation,0,,RRN,,0,0,0,,,NULL,1,0,1,Wed Apr 29 17:33:06 +0000 2015,42123.81465,42125.5398,42125.5398
32,@kevinroose This got funded during this first Net boom too. I took a gander at the iSmell for the NPR Circuits show https://t.co/gPmlFysl7X,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,18816166,kevinroose,0,,BSK,,0,0,0,,,,0,1,1,Wed Apr 29 17:31:07 +0000 2015,42123.81328,42125.5398,42125.5398
33,RT @waxpancake: 17 police reform bills went up before Maryland legislators last month. Police lobbyists helped kill all but three. http://t…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,JNR,,20,0,0,,,,0,1,1,Wed Apr 29 17:28:35 +0000 2015,42123.81152,42125.5398,42125.5398
34,RT @camerontw: fingers crossed - we need good news RT @pkedrosky Ben Horowitz (Lyft investor) says Uber is losing “on order of a billion do…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,JNR,,1,0,0,,,NULL,0,0,2,Wed Apr 29 17:28:12 +0000 2015,42123.81125,42125.5398,42125.5398
35,How did your grandparents meet? Mine involved a guy named Mooch Gluskin. #howIgothere#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,SILK,,0,0,0,,,NULL,2,0,0,Wed Apr 29 06:28:53 +0000 2015,42123.35339,42125.5398,42125.5398
36,RT @nationalpost: Surgery no longer required for trans Canadians to change gender on citizenship certificates http://t.co/PS4IsIjBsL http:/…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,ATB,,611,0,0,,,,0,1,1,Wed Apr 29 04:06:32 +0000 2015,42123.25454,42125.5398,42125.5398
37,"RT @ozchrisrock: The media isn't gonna show it, but I will. Here's a pic of Baltimore citizen's lining up to protect the police. http://t.c…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,HSR,,11162,0,0,,,,0,0,1,Wed Apr 29 03:14:22 +0000 2015,42123.21831,42125.5398,42125.5398
38,"RT @voxdotcom: In Freddie Gray's Baltimore neighborhood, half of the residents don't have jobs: http://t.co/BQpAghMGqV http://t.co/VMnJdVr1…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,BTM,,91,0,0,,,,0,1,1,Wed Apr 29 02:40:50 +0000 2015,42123.19502,42125.5398,42125.5398
39,@studiomondeo are you sticking with @mailbox or have you switched? which phone is it weirding out on for you?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,15060567,studiomondeo,0,,BSK,,0,0,0,,,NULL,0,0,2,Wed Apr 29 01:47:16 +0000 2015,42123.15782,42125.5398,42125.5398
40,"RT @anildash: Right now, you can directly help a family in Baltimore pay their water bill: https://t.co/R3AhCLW7qy I don't ask this often, …","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.92E+17,,RRN,,1423,0,0,,,,0,1,1,Wed Apr 29 00:36:41 +0000 2015,42123.10881,42125.5398,42125.5398
41,MT@xeni All you need to know abt why there r there riots in Baltimore is in these charts. http://t.co/2xdobenYtf http://t.co/EeoXqLGJ2E #fb,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,BSK,,0,0,0,,,,1,2,0,Wed Apr 29 00:22:02 +0000 2015,42123.09863,42125.5398,42125.5398
42,RT @wkamaubell: Los Angeles! Wanna a sneak peak at my new TV show United Shades of America? Come to a free taping this Thurs. &amp; Fri. http:/…,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.93E+17,,ATB,,13,0,0,,,,0,1,1,Tue Apr 28 23:50:30 +0000 2015,42123.07674,42125.5398,42125.5398
43,"Joni Mitchell, Joni Mitchell, Joni Mitchell.","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,SILK,,0,0,2,,,NULL,0,0,0,Tue Apr 28 23:49:35 +0000 2015,42123.0761,42125.5398,42125.5398
44,The bowling alley and the Japanese toilet seats didn't surprise me at Google today. The wait in the women's bathroom did.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,BTM,,1,0,1,,,NULL,0,0,0,Tue Apr 28 23:46:25 +0000 2015,42123.0739,42125.5398,42125.5398
45,"RT @saraschaefer1: Great convo. ""How do we balance the responsibility to speak up with the responsibility to shut up?"" http://t.co/qObW6uTX…","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.93E+17,,JNR,,7,0,0,,,,1,1,1,Tue Apr 28 20:05:28 +0000 2015,42122.92046,42125.5398,42125.5398
46,This guy managed to effortlessly upstage the ejector seat.   Did a little creatively inspirational… https://t.co/lCtOvC7Tek,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",678033,,0,0,,0,,HSR,,0,0,0,,,,0,1,0,Tue Apr 28 19:59:15 +0000 2015,42122.91615,42125.5398,42125.5398
47,RT @JoshACLU: This is not the question of someone who is going to rule against marriage equality http://t.co/sTakTJVgSG,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.93E+17,,JPN,,130,0,0,,,,0,0,1,Tue Apr 28 19:45:50 +0000 2015,42122.90683,42125.5398,42125.5398
48,@EllenPapadakis on a completely separate note,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,JNR,,0,0,0,,,NULL,0,0,1,Tue Apr 28 19:43:48 +0000 2015,42122.90542,42125.5398,42125.5398
49,@EllenPapadakis hey what was that civ pro Oregon bakery case?,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,JPN,,0,0,0,,,NULL,0,0,1,Tue Apr 28 19:43:33 +0000 2015,42122.90524,42125.5398,42125.5398
50,@EllenPapadakis best thing in the world would be to get EPC I think. You?,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,KOR,,0,0,0,,,NULL,0,0,1,Tue Apr 28 18:33:43 +0000 2015,42122.85675,42125.5398,42125.5398
51,@EllenPapadakis provided you can claim a legit public policy exception. But I thought a state having whatever it wants was enough,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,SILK,,0,0,0,,,NULL,0,0,1,Tue Apr 28 18:32:59 +0000 2015,42122.85624,42125.5398,42125.5398
52,"@EllenPapadakis my ancient recollection (provided, of course nothing has hanged) is that there is always an out really to FFand C","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,HSR,,0,0,0,,,NULL,0,0,1,Tue Apr 28 18:32:05 +0000 2015,42122.85561,42125.5398,42125.5398
53,@EllenPapadakis was just giving a talk so haven't been able to listen / read. Have they mentioned Facts of Life?,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,37565480,EllenPapadakis,0,,ATB,,0,0,0,,,NULL,0,0,1,Tue Apr 28 18:30:40 +0000 2015,42122.85463,42125.5398,42125.5398
54,@bookmeister @studiomondeo nope. Thanks for giving it a shot,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,12531492,bookmeister,0,,ATB,,0,0,0,,,NULL,0,0,2,Tue Apr 28 14:35:28 +0000 2015,42122.6913,42125.5398,42125.5398
55,Finding that @mailbox is either crashing or hanging. Is this happening for you?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,KOR,,0,0,0,,,NULL,0,0,1,Tue Apr 28 04:27:28 +0000 2015,42122.26907,42125.5398,42125.5398
56,@JShahryar EXCEPT for my desire to design a game called Cocktail Party when I worked at Bill Gross' first CD-ROM start up.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,48357731,JShahryar,0,,KOR,,0,0,2,,,NULL,0,0,1,Mon Apr 27 23:48:03 +0000 2015,42122.07503,42125.5398,42125.5398
57,@JShahryar the only game I really enjoyed after that one much was Galaga. Once they added two buttons to a game I just forgot the genre.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,48357731,JShahryar,0,,BSK,,0,0,0,,,NULL,0,0,1,Mon Apr 27 23:47:39 +0000 2015,42122.07476,42125.5398,42125.5398
58,@scottjohnson did you keep em?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,761290,scottjohnson,0,,SILK,,0,0,0,,,NULL,0,0,1,Mon Apr 27 23:46:59 +0000 2015,42122.07429,42125.5398,42125.5398
59,Can Joan Rivers get the Mark Twain award posthumously? For next year #TwainforJoan#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,RRN,,0,0,1,,,NULL,2,0,0,Mon Apr 27 23:46:37 +0000 2015,42122.07404,42125.5398,42125.5398
60,The last video game I was good at: http://t.co/tla2MOGccF,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",678033,,0,0,,0,,JNR,,0,0,0,,,,0,1,0,Mon Apr 27 23:32:36 +0000 2015,42122.06431,42125.5398,42125.5398
61,The last video game I was good at: http://t.co/qCkMHLRFky,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",678033,,0,0,,0,,BTM,,1,0,0,,,,0,1,0,Mon Apr 27 23:32:22 +0000 2015,42122.06414,42125.5398,42125.5398
62,The last video game I was any good at:http://t.co/oN60Ls9J5I,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,SILK,,0,0,1,,,,0,1,0,Mon Apr 27 23:30:34 +0000 2015,42122.06289,42125.5398,42125.5398
63,"@Sharkyl Aw, every nerd knows the social cue miss.  That used to be the tech biz. Btw Bandagon looks v cool!","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,4899991,Sharkyl,0,,HSR,,0,0,1,,,NULL,0,0,1,Mon Apr 27 23:29:42 +0000 2015,42122.06229,42125.5398,42125.5398
64,@Sharkyl Seemed like maybe that was it. Was nice and shook my hand before he went. Ironically he's from Niagara Falls NY!,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,4899991,Sharkyl,0,,JPN,,0,0,0,,,NULL,0,0,1,Mon Apr 27 23:16:44 +0000 2015,42122.05329,42125.5398,42125.5398
65,"ThxMT @Sharkyl   @heathr Great set on Thur, 1st time seeing you. Talking guy is actually very sweet, but has disablities. You handled great","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,ATB,,0,0,0,,,NULL,0,0,2,Mon Apr 27 23:15:43 +0000 2015,42122.05258,42125.5398,42125.5398
66,@Sharkyl very sad.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,4899991,Sharkyl,0,,BTM,,0,0,1,,,NULL,0,0,1,Mon Apr 27 23:14:49 +0000 2015,42122.05196,42125.5398,42125.5398
67,@lizgannes congrats!,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,770729,lizgannes,0,,BSK,,0,0,0,,,NULL,0,0,1,Mon Apr 27 21:59:56 +0000 2015,42121.99995,42125.5398,42125.5398
68,"@kenyatta @jah Justin, this show is great and it made me miss both of you and more of this conversation. Great making inspiration.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,799645,kenyatta,0,,BTM,,0,0,2,,,NULL,0,0,2,Mon Apr 27 19:33:13 +0000 2015,42121.89807,42125.5398,42125.5398
69,"@dearsarah with the ""already successful"" hero we're making some strides. With the upstart or ""every woman as every person"" a bit to go.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,128163,dearsarah,0,,JPN,,0,0,0,,,NULL,0,0,1,Mon Apr 27 19:32:21 +0000 2015,42121.89747,42125.5398,42125.5398
70,@dearsarah Yup! Reminds me of the Streep quotes from WITW about the core challenge being how to get men to identify with women protagonists.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,128163,dearsarah,0,,RRN,,0,0,0,,,NULL,0,0,1,Mon Apr 27 19:31:31 +0000 2015,42121.89689,42125.5398,42125.5398
71,"RT @dearsarah: @heathr similarly, though the majority of Twitter's BOD didn't graduate college, only Hillary Clinton was initially consider…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,BSK,,1,0,0,,,NULL,0,0,2,Mon Apr 27 19:21:40 +0000 2015,42121.89005,42125.5398,42125.5398
72,the web I love MT @kenyatta   so @jah came to town so i fasted on coffee and we turned on a camera and this ensued http://t.co/A9ywbHhoSa,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,BTM,,0,0,0,,,,0,1,2,Mon Apr 27 19:21:28 +0000 2015,42121.88991,42125.5398,42125.5398
73,"@dearsarah this reminds me of how people responded to the idea of a female host for TDS.  ""Already proven"" is a double standard and limiting","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,128163,dearsarah,0,,BTM,,0,0,0,,,NULL,0,0,1,Mon Apr 27 19:15:46 +0000 2015,42121.88595,42125.5398,42125.5398
74,@burstofbeaden congrats Jon!,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.93E+17,64783035,burstofbeaden,0,,JPN,,0,0,0,,,NULL,0,0,1,Mon Apr 27 19:14:18 +0000 2015,42121.88493,42125.5398,42125.5398
75,One of my fave pages on the Net: @nytimes short cooking basic videoshttp://t.co/VCkjkZ2Dsd,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,RRN,,0,0,0,,,,0,1,1,Mon Apr 27 17:53:34 +0000 2015,42121.82887,42125.5398,42125.5398
76,@RippleCreekNW @sprawlgeek I disagree that tech makes people behave badly. The responsibility lies with us humans.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.93E+17,321553655,RippleCreekNW,0,,ATB,,2,0,2,,,NULL,0,0,2,Mon Apr 27 17:02:38 +0000 2015,42121.7935,42125.5398,42125.5398
77,RT @JohnMaloney: Always a Fagen fan but his Coachella diary seals it http://t.co/1tMfGq0cUE,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.92E+17,,JPN,,1,0,0,,,,0,1,1,Mon Apr 27 11:30:10 +0000 2015,42121.56262,42125.5398,42125.5398
78,Twitter doesn't have a good enough history re gender for it to read that way “@jlp: @heathr it’s from headline news. It’s facetious”,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,BSK,,0,0,0,,,NULL,0,0,2,Sun Apr 26 23:11:07 +0000 2015,42121.04939,42125.5398,42125.5398
79,"If you don't believe in hell, it's hard to find it. Same with ugly. #feminist #Jewish","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,JPN,,0,0,0,,,NULL,2,0,0,Sun Apr 26 21:40:27 +0000 2015,42120.98642,42125.5398,42125.5398
80,Really twitter? Who wrote this encapsulation of the trend? @dickc @ev @rosenblattdavid @karaswisher http://t.co/UshK4wzp4H,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,BSK,,1,0,0,,,,0,0,4,Sun Apr 26 20:53:51 +0000 2015,42120.95406,42125.5398,42125.5398
81,@page88 interesting the way the world of capital believes it can hack all the usefulness from spiritual practice without the spirituality,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,4282171,page88,0,,RRN,,0,0,1,,,NULL,0,0,1,Sun Apr 26 20:45:42 +0000 2015,42120.9484,42125.5398,42125.5398
82,Great piece from @page88 on taking spirituality out for biz MT@chrisfahey: “Mindfulness” is the new “sustainable”—http://t.co/dvxnhuDKrZ”,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,JNR,,1,0,0,,,,0,1,1,Sun Apr 26 20:44:46 +0000 2015,42120.94775,42125.5398,42125.5398
