t_id,text
160,i think women are still seen as second class citizens barbrastreisand http t co hjjcunawzu
161,v cool new use of podcasting excellent writer performer heather woodbury s serial solo show as the globe warms https t co chuccewszq fb
166,native american actors walk off set of adam sandler s latest movie http t co ocro fss fb via leannamclennan
169,i posted a new photo to facebook http t co puauratnt
170,rt marikotamaki second tmnt cover https t co dmsvny gl
171,learned abt this sketch from a woman attending fluentconf today hilarious amy schumer s porn from a female pov http t co bga q s x fb
172,if you haven t seen this yet why what are you doing schumer show sketch last f acble dayhttp t co vfoa ffzc
174,my jewish class just ended with a super cool bit of writing from a dude named buber i will read more also http t co pgdnnsyggq fb
175,rt ozsultan australian researchers have found a cure for hepatitis b the new drug could also help treat hiv herpes and dengue http t
178,rt firstsecond congratulations to all our eisner nominees marikotamaki dirtbagg geneluenyang sonnyliew fareldalrymple http
179,rt estherehrlich hey jandynelson and marikotamaki congrats on the nomination for northern california book award yay poetryflash ra
180,rt helenkubiw finally cla web book award winners announced congrats marie louise gay jonathanauxier marikotamaki dirtbagg http t
182,debs kevinmarks thejeffdavidson heathr kthalps just heard chris mathews onmsnbc say i m a tummler i m here to stir things up
184,rt ezwrites i talked to nanglish jessirklein and kimcaramele about amyschumer s show for cosmopolitan http t co ltmwgvqnul
185,me and petercolez at fluentconf today glasses power we rocked the community area with some https t co hrgktrns r
186,to go before frakintosh can have some safety clear runway for place to live ptsd relief http t co osawuahd n cc hotdogsladies
190,antic lovely to meet you the tummeling conversations are all archived at http t co sdwzfyorrc
194,rt jennylynbader pulitzer winner leaves journalism to better pay his bills http t co rxekfkdqjy pulitzerprize journalism via slate
195,http t co kehwwhsfp
198,thanks la for putting out we had a lovely time here latimesfob willrogerspark fb
199,there was not funding for everyone who survived columbine keeping basic stability and therapies aren t covered http t co thz gqsjtc
200,this means the life threatening experience you were in keeps happening in your nervous system http t co thz gqsjtc columbine
201,the past isn t past it isn t even over when you live w ptsd the past is still often happening now in your body http t co thz gqsjtc
202,til we reach the k goal i ll be posting abt jay living w ptsd encouraging you to make a huge difference in a life http t co thz gqsjtc
203,jay frakintosh has ptsd needs support anniversaries are tough for people w ptsd getting out of a spiral harder http t co thz gqsjtc
204,it s the anniversary of the columbine shootings but it s not over for my dear friend frakintosh who now has ptsdhttp t co thz gqsjtc
208,how do lesbians make the front page of the san francisco chronicle leave i m on the front page today at the lex http t co ylanszzzlr fb
209,i liked a youtube video http t co ixrsjkfvm women on a panel
210,from the best best best merrillmarkoe women on a panel https t co trvgkypxhx fb
213,book awards la style the hottest women in a room full of hot women nerds are the sexiest people https t co aeisigqg
215,regram from dyrtbagg at latimesfob heading to the awards https t co vl q onctg
216,authors fountain catalogues burstofbeaden dyrtbagg marikotamaki https t co qlm r gboo
217,i m performing at taix tomorrow night in la and in residence fluentconf next tues and wed details at http t co d ramv ah fb
218,caught this panel with sandra tsing loh in overflow she had a real influence on me in an era were https t co nu mzfjebf
219,people with a keen eye help me out has seinfeld had a nose job check this old tape out https t co rahqilrhtn
227,before comedians in cars getting coffee garryshandling took jerryseinfeld out to eat with a camera crew https t co rahqilrhtn fb
229,well done jenafriedman https t co qyrapj xwj watch this guys she interviews the guy in ny desperate for dates
230,http t co rvw d cg w
231,i have quite a few gigs coming up this next month la this sunday fluent conference in sf next week google the http t co u ithz khm
233,with the latimesfob nominated beauty marikotamaki alice munro totally travels like this to https t co frrydl xly
245,also he s in some fucking movie jon stewart genuinely thrilled to interview adam horovitz son of israel http t co dnmjucqaqx fb
246,how you get to be a great artist pay attention https t co daqr gcqps of course also be talented as hell fb
248,rt zeynep folks please share i m hiring another post doc to start asap if you applied to the previous position do reapply https t
249,rt marikotamaki alcatraz with heathr windinherhair magicdateday alcatraz island https t co inpcgklb l
250,alcatraz light wonderful magicdateday so moved by aiww s piece i wish he could walk through it https t co owys oj kj
251,rt marikotamaki happy i got to see this in time aiweiwei alcatraz large freedom magicdateday w heathr ai https t co jxrj
252,souris rt blazenhoff people on drugs review the art at coachella http t co bqljzgxpy thx cathleen
253,rt benwerd i pulled together a list of open source tools anyone can use to be their own broadcaster http t co v yqjs bvf nabshow
254,lindahirshman i always think about jane larson at these moments in case it interests my attempt to remember https t co hf sbzfiar
256,rt sarahm being shamed doesn t affect people s lives equally dearsplenda s dead on critique of jonronson s new book http t co xnz
257,rt marmel japanese americans protest auction of internment camp art https t co itjoshogetauction is friday http t co c tka vmn
258,lou reed s youth by his sister anyone who was the outsider in their family will read it with a filter https t co xk phtmssf fb
261,tx judge denies gay couple custody legal parentage of their own newborns http t co o modz v fb
262,rt ginatrapani i built a web site that explores american wages by gender amp occupation for equalpayday enjoy amp share http t co yly b
263,rt ginatrapani women in law and personal finance make and cents to their male coworkers dollars respectively equalpayday http t
264,rt zeynep sometimes things stay stuck historically they almost always have ev on the deepest problem facing the internet https t
265,next credit cards apple watch https t co xcgznyikng
267,this is beautiful https t co tiaygqjcj
268,rt debcha what it s like to be poor at an ivy league university http t co iybx dgl a
270,rt jeffkreisler gary trudeau on the abuse of satire http t co yzpfijk aq
277,rt mattdentler the founder of a million startup just sold his company and he didn t make a dime http t co newk rxnxx http t co
278,rt lettersofnote eudora welty born today in once applied for a job at the new yorker with this fantastic letter http t co usupx
284,art https t co egc x twtg
291,she s awkward in this stuff but i got ferklempt anywaymt wsj hillary clinton for president video http t co zduzeay x
295,rt tigerbeat weekday ridership now averages about more than five years ago ctuan on sfbart bart sfbart https t c
297,rt wesleylowery wapo deep dive into years of police shootings cops rarely charged and almost never convicted http t co ohtr rjw htt
308,rt jarvisdeberry an march in jena helped get theo shaw out of jail this fall he begins law school http t co ujo hnyhpn
312,rt heerjeet it looks like cruz has found his sugar daddy http t co vasutkfnhs via ddale
317,rt scottmaustin cool to see in this era a year old female founder of a year old company sells it for billion http t co aung
320,rt byninamartin cops have killed at least americans since voxdotcom shows where amp how http t co a rqraly x http t co pvq
326,pick your poison syrup for me you https t co pgp cpbwd
332,masterful talk show appearance by amyschumer who has it all ready to go and makes it feel conversational https t co wdzrqj fb
333,rt ozsultan linkedin is paying billion for the online education site http t co ybjgt aaaq http t co uieveumwjy
334,rt jmspool karen mcgrane and i are interviewing super smart design leaders come be a part of it http t co etumy mvpz
335,rt bonhamcentresds nova scotia amends law to allow people to change gender on id more easily http t co tlcgdmjv e
337,rt monteiro this is clorox s reaction to the new multicultural emojis https t co jbmnx txwb
339,rt barsoomcore to read the free first episode of my new dino pirates adventure the eyes of justice sign up here http t co lean m
340,rt davidprecht photo firstsecondbooks mariko tamaki and jillian tamaki s this one summer now has award stickers books http t co
341,rt brokenfrontier wrightawards nominees on bf this one summer by dirtbagg amp marikotamaki firstsecond http t co plujfwa htt
342,lynnbreedlove gives a great quistory you can use it but i get paid a little bit every time you do https t co erxpv uvxo
344,rt simongdunham i read this piece by carolyn lazard on sickness under capitalism days ago and i ve read it every day since http t c
345,very good nathanshedroff excellent article by rbreich on a new threat to equality http t co lr auciz u
347,kaporcapital leads the way at looking at the cultural social stuff early to design for a successful company http t co thocmbuzix
348,rt beccaz kudos must read job posting tech diversity sexism mt mkapor kaporcapital looking for portfolio services partner http t
350,rt benbrown live on periscope years as a programmer ask me anything while i bike to work https t co bt v mafp
351,i see every guy with a beard and a flannel shirt exactly like this https t co msx ezeu t
353,going to oakland as first lgbt night happy they ll pay tribute to glenn burke former a who invented the high http t co iifzcgmhkw fb
354,an iphone doesn t appear to have been made by a person but this volvo p was http t co f mhpl mwp fb vintagecars
355,rt johnrobinson if i were still a working journalist or a wannabe i d apply for this tow knight center program via jeffjarvis http
357,points to http t co gszlh n for not naming their personal asst app w a female name tip for other app makers get an imagination fb
358,rt sherman alexie i have cancelled two performances in indiana because hate laws are unacceptable and immoral http t co dubdieif w
362,filmmakinglabs believes films are too much about conflict i couldn t agree more it s lazy diminishing returns https t co zvqgka ma
364,just like my ancestors did in egypt check out the latest religious freedom episode of morning jew w https t co cuvxqlvz w
367,rt reportedly cadrought the most significant ecological emergency in the us since dust bowl http t co i fufz b g http t co gkz uy
368,rt ecologycenter thx berkeleyside ecology center gets m grant to get more fresh fruits amp vegetables to low income californians http
369,rt morningjewshow in honor of pesach and liberation and the recent indiana anti gay connected rfra law here s a classic episode for ht
381,dykeopolypse all dykes get sober at the same time lynnee breedlove thelex theend lgbt sanfrancisco fb
382,sophie b hawkins on the jukebox say goodbye to your lesbians and queers san francisco thelex https t co m cc ff
385,tbt making cookies with danny and autumn before my show at bowdoin which was great fun to bring me https t co gv wvfqge
400,rt cameronesposito thank you iliza this is how comics should treat one another http t co kn iqbamw
403,rt ashedryden i m especially looking for speakers and talks about the following http t co zrjyjgun n http t co rheh lygdo
405,yelp activism putting what the net is great at terrible reviews to a purposehttp t co rrqungr jx equality indiana memoriespizza fb
409,rt dearsarah things my male tech colleagues have actually said to me annotated http t co rf ewpthe
411,jillsoloway latest on the jewish comedy double standard http t co cwvpso ybe here s the morningjewshow ep on it http t co oh xcbezl
413,rt sandrabernhard honey gay people don t want pizza at their weddings we like a nice lobster claw or some caviar don t worry about h
414,new post comedy lena dunham and the anti semitism sexism hillel sandwich http t co o sdtjnuy
415,rt graceandfrankie first look janefonda amp lilytomlin navigate a strange new friendship in graceandfrankie http t co zbmfvwfb f
416,heathr you ve been quoted in my storify story lena dunham amp the sexism anti semitism hillel sandwich http t co nqgmaddgaw
418,rt newmediajim mcdonald s raising pay for employees in stores via nytimes http t co b jrqc syt
419,new post what s underneath achieving social equality and product returns http t co hbljnqfmar
420,morningjewshow cohost kathalps amp i found some stuff in comedy bits lenadunham critics need to call anti semitic http t co cwvpso ybe
421,hallelujah fb mt mikeyoungdmngov jerry brown orders cut in calif water use http t co syg tiaekw
434,rt micnews rabiasquared i don t think there s something people need to know about islam they need to know a muslim https t co
436,rt kthalps member when adl national abe foxman twitter called out larry david woody allen for anti semitism me neither http t c
437,rt ronmartinez rise of the screenshot pomeranian wired http t co icv s usa http t co de nak w
439,rt aparnapkin go see this laugh champ mremilyheller please consider this tour http t co lezkcylshq http t co bjhtd hbt
446,rt anylaurie he s even worse than i thought cosby to his audience last night we are here to enjoy my gift http t co boi glr us
448,rt kevindoylejones indiana s new anti gay law made this company cancel m job expansion http t co fisqprf ng boycottindiana
450,rt questlove we owe de la soul hip hop you hear me we owe de la soul http t co xgctshelep let this be the new precedent
454,rt allaboutgeorge third door media generates income in three diverse ways direct ads on our sites lead generation and conferences htt
456,rt kthalps listen to morningjewshow segment now on wbai http t co jgs c i dj heathr amp i talk lenadunham scandal amp adl national s
480,getting ready to perform at citywinery in napa the old napa valley opera house afternooncomedy https t co egjniewmo
481,rt pattyarquette report u s soldiers contractors sexually abused children in colombia http t co kzbhvzz jc via democracynow
483,rt cbcasithappens scott bonner wins lemony snicket prize for keeping fergusonlibrary open during unrest our november inv w scott http
484,rt allisonkilkenny do watch lastweektonight s segment on municipal fines aka shutdownthefuckbarrel aka debtors prisons https t co dk
487,rt cbr exclusive marikotamaki casts tmnt s casey amp april as lovers in a dangerous time http t co qv iunaboh http t co xctso eq
488,rt nytimes harper lee s new novel now has a cover design it was hard to pick just one iconic image to represent the book http t co p
489,rt nytimes rethinking what it means to be canadian http t co kr hywpwsx http t co gvazfy m s
490,st time i used subvert in something packing feminism https t co zojoaxcmr
491,back after years hockey https t co hgxta drf
492,rt morningjewshow we take on the anti defamation league and sundry others calling lenaduna s recent newyorker piece anti semitic http
496,now facebook ownership shows it s head on instagram the notification that never goes away no matter https t co y jsj xrqq
497,thejeffdavidson kthalps dceiver lenadunham morningjewshow it s a thrill to have a straight man leave me alone also i m pro halper
500,michaelawat oy like they ve never seen seinfeld check our latest ep morningjewshow on this open invite to you http t co oh xcbezl
501,the ellenpao loss like the prop and anitahill losses before it will probably galvanize even more people and lead to much bigger change
503,rt dhaliwalmk why the ellenpao verdict is not a loss for women smartest write up yet by ktbenner http t co bzedrslvex
529,rt emilynussbaum anyway fwiw here s the exceedingly jewy heathr discussing the dunham column on morning jew http t co kgdrdofpet
536,make fun of a jewish woman and she stands for all women make fun of a jewish man and he stands for all jews http t co oh xcbezl
538,heerjeet it s not even failed some people don t like it see my twitter essay and current morningjewshow http t co oh xcbezl
543,emilynussbaum tcarmody as i say in the ep love your thoughts http t co oh xcbezl i ve never even seen her shows and i m still
566,we go into it in the latest morningjewshow http t co oh xcbezl we even try to come up with what would be an anti semitic piece
574,do inside comedy about jewish women and you re one of the guys do it about a jewish man and he represents all jews http t co oh xcbezl
575,lenadunham you have a wide open invite from these uncircumcised jews to guest on morningjewshow our ep on you http t co oh xcbezl
576,jewish male comics make fun of jewish women for decades but turn it around once and it s anti semitism http t co oh xcbezl lenadunham
577,mt morningjewshow we take on the adl and others calling lenadunham s recent newyorker piece anti semitic http t co oh xcbezl
579,new zappos approach seems like it will require massive amounts of tummeling for that cc debs kevinmarks http t co gs chm hbq
581,rt shakestweetz on boycottindiana and why it s a terribly unhelpful idea http t co nz dudqnbt
584,a huntington beach attorney is trying to get a ballot initiative in california to legalize killing gay people like me http t co twungv kh
585,toronto this news makes up for anything bad that might have happened to you today http t co zkunoqsiu pancers deli
591,mpetricone prominent venture capital investors come out for patent reform now http t co droc zwnvs fixpatents hr patentsmatter
599,gender discrimination basic to performance pay from fivethirtyeight http t co umun bvzyh fb
600,my new fave page on the internet quick useful basic cooking techniques http t co ars ypat fb
605,rt thegreatermarin soft release railways of the bay area or where the hell did that rail trail come from https t co xlhuk xzzb h
623,rt frankrichny fran lebowitz talks to halekathleen about style but actually everything sprinkling laughter amp wisdom throughout http
624,i m appearing this sunday in this rt michaeldorf city winery napa to host napa seder beyond cups http t co jfoek dice fb
628,rachelsklar little white lie by lacey schwartz is on pbs tonight check local listings it s pm in nyc http t co nxd buby p
632,has the wind changed michellequinn the season of gender discrimination suits in silicon valley http t co eo te ywjm
633,rt michellequinn icymi possibility of punitive damages ok d by kleiner judge http t co ssy skzeut
635,rt kateaurthur oh brother rt nytimes starbucks ends tempestuous initiative on race http t co nksunp
637,rt ase paris will cut the number of cars on the road in half beginning monday and is making public transit free http t co ey jiclev
638,for a follow up they re working on a jesus made out of challah napa https t co e hoqxsdg
642,placement day for this old timer hockey https t co rkllk hpzd
646,viagra that bane of the third wife fran lebowitzhttps t co utqx led fb
649,i would remind citizens they used to be called citizens and not consumers fran lebowitz nails biggest us problem https t co mqdod qqkj
651,normmacdonald s last letterman just so funny https t co yhuln pmf
658,rt joeycomeau we have a new softer world t shirt if you don t read the flirting is over http t co hyku roa http t co ggezqyzr
659,classic mj ep this week popedate michele bachman talks w woody allen http t co mocsol fg kthalps
661,stevenlevy says marinaabromovic s ted talk won t play on video http t co x zdlyotik use of the live moment there rare
680,rt morningjewshow if you love morningjewshow let npr know which episode so more can find the show kthalps https t co fnrzqh esk
681,curious did anyone interview kleiner perkins macher al gore about the ellen pao suit and klenier s homogeneity http t co fgapvokmrh fb
683,no idea ca privatized some water system democrat water billionaires great longform piece via r solnit http t co luplugqlom fb drought
688,rt jonward my god this is somethinghttp t co x cpumdco http t co htv eeityl
689,tbt a great very old memory as i get ready to play again decades later beating later olympian https t co stc rru pp
690,margaretarwood on foreignness and empire the entire interview is fantastic http t co tudtzacuur fb http t co qzoyayojlj
692,rt bavishai netanyahu s compromised victory http t co qree mqb via newyorker
698,jsmooth as always one of the smoothest has anyone ever packed this much edification into a min panel spot http t co xxbmg ixxc
700,rt enterpriseux sold out ixdconf now coming to san antonio steveportigal s soft skills wkshp enterpriseux http t co mjof vw zv htt
701,rt worldofboning bay area we re hitting thenewparkway on with maryvannotes and jsele and pianofight on with natashamuse a
703,rt jessdobkin stop the press an artists newsstand is coming soon to toronto please support http t co lodxn l d chesternewsies ar
705,rt rgay i guess the news is out i am moving to the nytimes as a contributing opinion writer starting april http t co ftcgbqeaid
707,rt sophiaphotos dr zucker no longer allowed to accept patients camh to review gender clinic for trans youth http t co mye ck tat
708,rt michaelcrowley former likud ambassador to us predicts bibi will retract disavowal of palestinian state if he holds on http t co j
709,rt morningjewshow special treat one of our classic funniest episodes for this week we analyze a voicemail from a grandmother http
710,rt bonhamcentresds as of last month proof of surgery no longer a requirement to officially change gender in manitoba http t co iuhzv
712,rt onwevr today we launch a million virtual reality content fund for immersive storytellers http t co magcqabuj vr http t co dw
713,rt emenel we re looking for an ios developer to join our team at normativedesign https t co u ypyakcb
715,stunned it took fb so long to do this rt hondanhon square cash just died https t co tcmdew bu
717,rt jschool cu congrats to toronto star s kevindonovan for his team s hillmanprize in journalism for jiangomeshi series http t co x
718,rt thelancearthur california s extreme drought from kqednews https t co cegfwxp ks
719,rt morningjewshow back with an oldie and a super goodie hilarious voicemails frombubbe woody allen http t co jpzkkvdkys kthalps
723,yrs after we st streamed at apple mt digiphile wsj apple in talks to launch streaming video service http t co iswqxl d e
727,rt deray why i didn t call the police when i saw two black boys with guns next door must read http t co y sex gc q
728,commuter buses nextmt owenthomas this is an outrage to the net http t co smy cwsyjj has been replaced by a domain parking spam site
735,i am normalizing television shondarhimes http t co zsexabe cdexactly fb
736,so great ericajoy you are not alone you are seen i am with you thx for the tears in my tea shondarhimes http t co zsexabe cd
739,monteiro more fellow funnywomen worth knowing dawnwhitwell beckydonohue johnsonbecky kthalps sandra shamas jsele julia jackson
746,rt jamilsmith jill lepore on why income inequality persists and how it s metastasized into a problem only congress can solve http t c
754,rt ajenews some numbers are so huge they almost lose the power to shock million syrians are refugees http t co eicpn hi o http t
755,rt heerjeet orson welles had some shrewd things to say about woody allen https t co qbris wvuh via angryblacklady
756,rt badaude is there a marxist dating site morningjewshow in conversation with mckenziewark tangential to kathy acker https t co
757,rt badaude http t co xwv t ciw mckenziewark talks about his correspondence with kathy acker mitpress morningjewshow morninglis
759,rt sandyanne huffingtonpost boston s st patrick s day parade to include gay groups for first time http t co dzcyov ura i d love
760,rt rmchase americans gave of the superpac money spent through the cycle we want democracy back https t co owsi utwsh came
762,rt zeldman nostalgia for the old folks alistapart articles by thelancearthur http t co zdqqbzg y amp zeldman http t co lod w
763,mini sxsf today w documentally https t co dynebvwezn
764,an original pimimond at mama s royale https t co gsvincv t
771,rt jovankavuckovic screenwriter julie bush is sticking her neck out for all women in film please rt women in hollywood a shit show h
774,rt om california has about one year of water left will you ration now http t co ukylgfrduw
776,rt kithonline kids in the hall will be performing live in las vegas nv on june tickets on sale now http t co px ejcbura
777,rt ch ryl hmm fishy rt motherjones the nypd is editing the wikipedia pages of eric garner sean bell http t co u x eirmk
778,rt vice spike jonze and chris milk discuss the future of immersive film http t co rcfguf n http t co kjyphbqdyq
789,nje i recommend everyone go watch http t co vatz rcvxb to get a renewed sense of how much is possible and how child care is
813,rt nellsco great article by monicabpotts explaining why haters don t have to hate lean in http t co az kxk o
815,carrie rachel interviews kim gordon for an hour about her book http t co j zck zoz
817,hope https t co rj d sqep
818,rt kateaurthur how goingclear outs john travolta http t co v d lf v http t co umvjgg bqi
819,rt heathersomervil day of ellenpao testimony in the kleinerperkins sex discrimination lawsuit follow along with mercnews live blog
822,rt monkbent medium adds custom domains verrrrrrrry interesting https t co ir jjw yxp
823,rt ttbook icymi our longread interview w edmund white is an incredible first hand account of the last years of gay rights http t
825,v interesting design piece nishers disney bets a cool b on this magical band http t co cakaaniyia
827,rt bonhamcentresds yesterday saw toronto city council approve new shelter beds for lgbtq young people http t co oyjk uhobx
828,rt saranics circa alabama starts investigation into possible elder abuse over harper lee s new book http t co x q q gt woah
829,rt lauraklein cool opportunity for customer focused product managers who live in or want to live in sydney https t co cnaludnxei
830,rt jasonfried love how the hood of the old bmw was hinged in the front speaking of awesome check out the https t co o vihs gs
831,rt benwinslow urgent hb religious liberties bill passes the house fox now utpol lgbt
832,rt benwinslow urgent sb which allows clerks to opt out of performing same sex marriages passes house fox now utpol lgbt
833,rt benwinslow breaking news sb lgbt nondiscrimination bill passes huge applause in the gallery fox now utpol
834,rt paulkidd australians quitting smoking at record rate since plain packaging introduced http t co opawg pg
836,rt dearsarah great news for ers rt fmanjoo uber lyft rebuffed in bids to deem drivers independent contractors reuters http t c
837,sara little turnbull nee sara finkelstein is i days womenshistorythanks and notjustastat she is https t co ncs cnhcz
838,rt deray twitter just banned revenge porn and doxxing http t co sydkhqzrud http t co rk pi g vg
840,kmieszkowski mother killed in crossfire while trying to shield two of her children ages and in w oakland http t co ydhuavumla
841,enjoy waiting for that prince toddlers https t co us xlwtqvr
842,rt patrickrhone really good preso on indie podcasting by imyke https t co ps gjeponh
844,rt johnshinal at aapl shareholder meet rev jesse jackson urges ceo tim cook tech industry to lead on diversity jswartz http t c
847,rt michellequinn paotrial pao asked for at least million severance a meaningful number that would actually hit their radar http
849,rt hondanhon come join us codeforamerica as a user researcher and help american governments meet real user needs http t co j owin gw
852,rt independent the rich are richer than before the recession while the poor are poorerhttp t co leonqiggvn http t co zwwhig
853,if you want to understand how narcissism actually works read http t co xlxghm gw this latest coverage gets it backwards fb
856,today s womenshistorythanks notjustastat is barbara rosberg frum barbara was bigger to canadians https t co yzrpwfwgv
858,if you re thinking about showing your classroom miss representation i recommend you substitute http t co ico tjrusw
865,rt lizzwinstead such a hero to the vulnerable rip sam simon who guided the simpsons then shared his profits dies at http t co
868,and http t co fadv fvedl fraying never tell me not to complain in twitter that s what twitter is for
870,rt malarkey zeldman right up your street this susan kare s original mac icon designs go on show in new york http t co q ut by w
873,lynda barry fuck yeah womenshistorymonth https t co g cwea zp
874,link for the matt lauer quote i just tweeted http t co pinbyd g v
877,very very proud to be a fellow at university college at university of toronto where my mum went to school http t co enfq zfwj fb
880,anyone have a minidisc player lezhistory https t co uz xklbqc
885,today s notjustastat womenshistorythanks is to my great grandmother ganesha who is the lady in the https t co c htmlrogf
889,rt rosie amen http t co jduvbqutat
891,curt schilling gehreg speaks up re gender harassment of daughter in a way no older man in silicon valley has https t co ha hc zolx
892,rt newyorker the age of monologues http t co d le pizwl
894,rt eriktla in memory of venus xtravaganza with love shesamodernwoman parisisburning parisisburning washeranddryerset http t co
895,if you bank at bofa deyoungmuseum and other sf museums free this weekend http t co klbby nbxz
900,rt adamslisa friends adamslisa died peacefully at pm more on http t co enjr mextx rememberlisa and donate to http t co bv
901,today s womenshistorythanks notjustastat is for chris ernst world champion rower who also captained https t co f dhqzmecs
905,rt felixsalmon downloadable cindy sherman emoticons http t co qbdtyqfe http t co kqu doygp
909,electronic guys who co produced greatest stevie wonder albums great bbc radio doc attn francispreve alieisner http t co zay hdum o fb
910,rt morningjewshow on today s morningjewshow myqkaplan talks about religion open relationships amp linguistics https t co gauipsxe s
911,rt morningjewshow if ur more x than me ur crazy if ur less u don t count myqkaplan on judging fellow members of religion groups http
912,rt thedailybeast britain s pedophile cover up went right to the top of the thatcher government http t co vifsyntook http t co fosvauq
916,rt twitteropen twitter has joined the amicus brief filed w u s supreme court urging the ct to rule in favor of marriage equality https
917,i ll be doing a set tonight at http t co lhohzajawp jewtastic style for purim oakland at pm i m up early see you there fb
919,today s notjustastat womenshistorythanks is prof barbara miller solomon she was the first female https t co vvyljeyszg
921,rt cbcarts the kids in the hall to launch comeback tour in toronto http t co eyrzyomdyu
928,we live feudal times via taylormacnyc adamfeldman http t co kh gtldrp theatre art business fb
929,rt heathersomervil we re live blogging the kleinerperkins trial on the stand now investigator who called ellen pao s claims meritless
930,rt elizabethn do you know a woman or other underrepresented minority that has left tech or is considering it i d lt to know why https
932,rt sarahkendzior people think ferguson protesters are raking in money many are so poor they eat only one meal per day http t co vey
933,thanks mathowie for all your great work doctorow matt haughey retires from metafilter http t co sfnamzh http t co akyz xmiqn
937,rt gregtbasta travel advisory issued to lgbtq individuals traveling to georgia via getequal and riseupgeorgia http t co bs sqcgtl
938,rt latimesfob congrats marikotamaki amp jilliantamaki being la times book prize graphic novel finalists for onesum bookfest http t c
939,rt samswey the month after mike brown was killed the of black ppl killed by police dropped nationwide protests matter http t c
940,cool news fr davideagelman http t co ssajqgbyia says synesthisia detail environment influenced synesth show i did http t co vwtlwkf q
944,rt thestromboshow we lost john candy today in some reminders of why he is a legend http t co lzdkdriho unclebuck http t co qp
945,my beloved deceased mentor prof jane e larson a historian an incredible mind and a person who https t co kkphipxtk
947,tanehisicoates just watched http t co mg vbjw zf last night the idea of working on anything that s not for personal is radical today
950,prince football basketball and baseball stribjany from the strib archives chappelle was right http t co zjvljjiyoy
